web_name,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in,transfers_out,bonus
McNeil,3.4,54,0.7,1,62,98.8,324.6,429.6,234.0,101926,47564,3
Mykolenko,2.0,46,5.7,1,65,60.1,336.0,101.8,164.0,837049,280614,7
Onana,3.4,47,0.2,2,39,51.4,176.0,160.7,175.0,18508,29572,3
Patterson,1.6,44,0.2,0,33,35.2,195.2,131.5,24.0,22489,29050,3
Pickford,4.4,45,9.5,2,68,48.1,441.2,40.2,0.0,606784,1074543,6
Simms,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,0,3591,0
Tarkowski,2.8,45,5.8,0,66,79.8,465.8,143.3,186.0,793830,409883,6
J.Virginia,0.0,39,0.5,0,0,0.0,0.0,0.0,0.0,49468,54367,0
Andreas,2.4,53,1.0,1,65,92.8,241.8,548.9,137.0,238807,243367,3
Cairney,3.6,49,0.1,6,48,45.5,187.8,166.8,99.0,11082,6290,2
I.Cavaleiro,0.0,50,0.0,0,0,0.0,0.0,0.0,0.0,0,1003,0
De Cordova-Reid,2.8,53,0.1,10,53,49.5,194.8,108.5,197.0,26206,30259,5
Diop,0.4,44,0.4,1,25,22.4,179.4,17.2,27.0,85985,111887,2
Francois,0.0,44,0.0,0,0,0.0,0.0,0.0,0.0,2235,3680,0
Knockaert,0.0,44,0.0,0,0,0.0,0.0,0.0,0.0,941,7922,0
Kongolo,0.0,40,0.1,0,0,0.0,0.0,0.0,0.0,1162,10538,0
Leno,2.8,48,16.4,1,71,61.6,617.6,0.1,0.0,1651382,861461,10
Lukić,0.4,43,0.3,0,15,12.3,46.2,50.0,30.0,67953,81947,0
Mbabu,0.0,40,0.2,0,0,0.0,0.0,0.0,0.0,4952,41658,0
Mitrović,0.0,74,0.7,0,1,3.3,6.4,0.3,26.0,15553,356024,0
Muniz,1.0,44,0.4,0,10,18.7,21.4,57.8,113.0,72547,84305,0
J.Palhinha,2.2,50,0.3,2,48,59.5,350.6,99.9,145.0,76047,68968,6
Ream,0.0,45,0.7,0,34,29.2,231.4,15.9,45.0,270117,269415,4
Reed,0.8,45,0.3,1,29,27.3,119.6,137.7,16.0,34720,92530,0
Robinson,2.2,44,1.3,2,45,77.5,412.2,275.7,86.0,166655,106545,3
Rodák,0.0,39,0.4,0,-1,0.0,0.0,0.0,0.0,17993,24854,0
Tete,0.2,44,0.3,0,20,26.1,141.0,65.7,54.0,27475,62369,0
Tosin,3.8,43,0.3,2,27,23.0,183.6,16.7,29.0,33996,18102,2
Vinícius,1.4,46,1.3,0,22,28.2,83.6,61.3,139.0,132208,392268,2
Wilson,3.0,53,0.2,1,52,59.9,209.4,194.9,195.0,45815,46258,0
Adrián,0.0,39,0.3,0,0,0.0,0.0,0.0,0.0,13676,21844,0
Alexander-Arnold,5.2,85,28.8,0,97,131.7,420.6,754.6,141.0,2587711,1445984,18
A.Becker,3.6,57,12.8,1,77,42.9,420.4,10.1,0.0,1093653,905988,9
Bajcetic,0.0,47,0.0,0,0,0.0,0.0,0.0,0.0,1069,5009,0
Darwin,3.4,74,13.5,5,77,124.1,351.8,243.5,645.0,2622126,2699959,6
Diogo J.,2.6,77,2.8,7,57,78.0,244.6,175.9,361.0,525574,559410,2
Elliott,2.2,48,0.2,0,28,33.7,111.6,137.9,89.0,22808,29917,0
Fabinho,0.0,50,0.0,0,0,0.0,0.0,0.0,0.0,0,1100,0
Gakpo,2.8,72,2.2,5,42,62.0,198.4,128.6,299.0,191426,619348,3
Gomez,1.8,45,1.3,1,39,41.4,170.4,164.2,79.0,160014,70509,1
Henderson,0.0,50,0.0,0,0,0.0,0.0,0.0,0.0,0,807,0
Jones,3.4,49,0.1,9,24,29.9,114.0,77.1,112.0,8402,14973,2
Kelleher,0.0,37,1.4,0,7,3.2,32.6,0.0,0.0,283422,180542,0
Konaté,2.0,49,1.8,1,36,36.0,208.6,80.8,71.0,268682,277902,0
Luis Díaz,2.2,73,6.1,1,56,90.6,208.2,304.3,395.0,1589988,1708296,1
Mac Allister,0.2,58,2.7,1,32,39.9,200.0,168.7,31.0,166916,1014540,3
Matip,0.0,49,0.3,0,21,26.1,192.8,33.3,35.0,68163,78775,0
Phillips,0.0,40,0.1,0,0,0.0,0.0,0.0,0.0,2433,18488,0
Robertson,0.0,64,2.2,0,26,52.7,196.2,284.3,46.0,468850,720661,3
Salah,8.4,132,42.5,16,156,233.1,771.0,618.5,939.0,4123791,2657190,21
Szoboszlai,2.0,71,5.2,2,73,104.8,321.4,520.1,208.0,871963,811080,6
Thiago,0.0,48,0.1,0,0,0.0,0.0,0.0,0.0,2152,19766,0
Tsimikas,2.0,47,3.5,0,45,43.0,154.8,248.4,26.0,1861617,1536871,4
Van den Berg,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,0,2420,0
Virgil,3.6,63,12.2,1,71,81.3,492.0,100.2,219.0,1030613,874666,8
Adebayo,4.2,48,1.1,6,50,63.8,211.8,131.6,294.0,146398,144885,3
