web_name,team,element_type,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in,transfers_out,bonus
Vítek,Man Utd,GK,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,2759,1911,0
Marschall,Aston Villa,GK,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,3154,2139,0
Humphreys,Chelsea,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,629,984,0
Zaniolo,Aston Villa,MID,0.7,54,0.1,1,18,36.1,71.2,72.5,222.0,12984,11707,0
Adams,Bournemouth,MID,0.0,49,0.0,0,0,0.0,0.0,0.0,0.0,652,633,0
Delcroix,Burnley,DEF,0.3,40,0.0,0,6,14.3,63.2,37.8,42.0,4973,3837,0
A.Ramsey,Burnley,MID,0.7,50,0.0,0,12,7.3,29.0,21.6,24.0,9684,8298,0
Mavropanos,West Ham,DEF,7.3,45,0.2,1,29,19.3,118.2,15.9,60.0,26186,9260,3
Deivid,Chelsea,FWD,0.0,45,0.1,0,1,0.4,0.0,0.1,4.0,10360,8404,0
Doku,Man City,MID,0.7,65,2.5,2,51,96.6,286.6,307.6,371.0,1380844,1168045,9
G.Montiel,Nott'm Forest,DEF,4.3,44,0.1,0,15,15.8,86.0,55.5,15.0,12206,6348,3
Beach,Chelsea,GK,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,1449,1218,0
Diego Moreira,Chelsea,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,236,283,0
Johnson,Luton,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,4524,3440,0
Harris,Fulham,MID,0.0,45,0.0,0,2,2.1,3.2,0.7,17.0,4640,3952,0
Brierley,Brentford,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,1729,1385,0
Gore,Man Utd,MID,0.3,45,0.0,0,1,0.3,3.0,0.0,0.0,757,662,0
Zych,Aston Villa,GK,0.0,40,0.1,0,0,0.0,0.0,0.0,0.0,6697,5742,0
Petrović,Chelsea,GK,4.2,45,1.1,10,24,13.1,130.8,0.0,0.0,138840,33712,3
Castagne,Fulham,DEF,1.3,45,0.6,1,44,48.6,217.0,165.6,103.0,154331,101398,3
Kudus,West Ham,MID,1.0,68,3.3,0,76,70.3,336.0,177.2,191.0,1125344,815963,11
Baleba,Brighton,MID,0.3,45,0.1,0,13,19.0,96.4,69.2,24.0,16388,12556,0
Beto,Everton,FWD,1.3,57,0.1,1,24,31.5,64.4,78.0,180.0,61286,54281,0
Benda,Fulham,GK,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,2946,1759,0
Thomas,Sheffield Utd,DEF,0.3,40,0.1,0,7,24.7,127.8,53.9,64.0,10836,7701,0
Massengo,Burnley,MID,0.0,50,0.0,0,0,0.0,0.0,0.0,0.0,412,455,0
Altay,Man Utd,GK,0.0,40,0.1,0,0,0.0,0.0,0.0,0.0,16098,6701,0
Murillo,Nott'm Forest,DEF,2.7,45,0.1,1,31,47.9,325.2,65.0,89.0,14458,9022,1
S.Bueno,Wolves,DEF,0.8,45,0.0,0,4,5.0,49.0,0.9,0.0,2900,2427,0
González,Wolves,MID,0.0,50,0.0,0,0,0.0,0.0,0.0,0.0,1695,1558,0
Lenglet,Aston Villa,DEF,3.7,45,0.1,5,13,10.9,70.0,31.3,8.0,16914,7781,0
Ansu Fati,Brighton,MID,0.0,64,0.3,0,21,32.7,97.0,54.5,176.0,178041,165572,1
Ghoddos,Brentford,MID,1.0,45,0.0,0,21,34.1,132.0,162.4,45.0,13136,10181,0
Phillips,Spurs,DEF,0.0,40,0.1,0,0,0.0,0.0,0.0,0.0,11218,9410,0
Evans,Man Utd,DEF,1.0,40,1.0,1,33,23.4,172.2,45.8,15.0,285882,193701,3
Fraser,Wolves,FWD,0.0,45,0.1,0,0,0.0,0.0,0.0,0.0,14801,11936,0
Sinisterra,Bournemouth,MID,3.0,55,0.0,1,29,44.3,153.8,126.4,162.0,6821,5069,0
M.Trésor,Burnley,MID,1.3,54,0.0,1,18,17.8,43.4,109.7,24.0,4896,4382,0
Ballo-Touré,Fulham,DEF,0.3,45,0.0,0,3,1.6,11.2,1.5,2.0,4220,3670,0
Gravenberch,Liverpool,MID,1.7,50,0.1,1,24,33.9,86.0,124.5,129.0,29253,24362,0
Amrabat,Man Utd,MID,0.0,50,0.1,0,14,17.1,100.0,65.8,4.0,33020,29213,0
Odysseas,Nott'm Forest,GK,0.0,45,0.1,0,12,11.2,101.8,10.0,0.0,16834,13546,0
Omobamidele,Nott'm Forest,DEF,0.3,45,0.0,1,1,1.8,17.6,0.8,0.0,770,863,0
Dominguez,Nott'm Forest,MID,4.0,50,0.0,2,38,40.6,184.4,77.8,142.0,7944,5925,5
Sangaré,Nott'm Forest,MID,0.3,49,0.0,0,19,26.5,133.2,95.6,36.0,1891,1736,0
Origi,Nott'm Forest,FWD,0.0,50,0.1,0,8,5.8,10.6,27.9,24.0,31681,28191,0
Bellegarde,Wolves,MID,1.8,49,0.0,0,27,33.1,151.6,89.4,91.0,6283,5252,1
Gilchrist,Chelsea,DEF,0.8,40,0.0,1,3,0.5,5.0,0.0,0.0,2425,1717,0
Stutter,Chelsea,FWD,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,5211,4037,0
Matos,Chelsea,MID,0.0,45,0.0,0,1,0.0,0.0,0.0,0.0,1272,1110,0
Hunt,Everton,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,952,737,0
Ola-Adebomi,Crystal Palace,FWD,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,5676,4358,0
Ozoh,Crystal Palace,MID,0.3,45,0.0,1,4,1.8,15.4,2.6,0.0,982,774,0
Donley,Spurs,FWD,0.0,45,0.0,0,2,0.3,3.0,0.0,0.0,7260,5517,0
Brooking,Chelsea,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,1528,1238,0
Raymond,Crystal Palace,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,689,498,0
Kim Ji-Soo,Brentford,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,3174,2461,0
Chambers,Liverpool,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,2003,1556,0
Townsend,Luton,MID,2.0,50,0.2,2,41,39.7,139.6,165.2,93.0,42960,22611,3
Scanlon,Liverpool,DEF,0.0,39,0.0,0,0,0.0,0.0,0.0,0.0,890,712,0
Luker,Luton,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,768,580,0
Oné,Sheffield Utd,MID,0.0,45,0.0,0,1,0.0,0.0,0.3,0.0,431,331,0
Buyabu,Sheffield Utd,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,1390,985,0
Tanton,Fulham,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,1485,999,0
Adedokun,Brentford,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,2509,1360,0
Nelson,Luton,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,871,635,0
Sagoe,Arsenal,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,597,431,0
Walters,Arsenal,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,2529,1594,0
Ibrahim,Arsenal,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,522,386,0
Diallo,Newcastle,MID,0.0,45,0.0,0,1,0.0,0.0,0.0,0.0,903,566,0
Parkinson,Newcastle,FWD,0.0,45,0.0,0,1,0.2,2.0,0.0,0.0,3552,2532,0
Dorrington,Spurs,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,1560,1027,0
O’Mahony,Brighton,FWD,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,3528,2471,0
Baker-Boaitey,Brighton,MID,0.0,45,0.0,0,2,0.4,3.6,1.0,0.0,563,360,0
Nyoni,Liverpool,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,150,118,0
Peart-Harris,Brentford,MID,0.3,45,0.0,0,3,1.5,2.2,10.9,2.0,199,153,0
Ndiweni,Newcastle,FWD,0.0,44,0.0,0,1,0.0,0.2,0.0,0.0,2140,1477,0
Jackson,Brighton,DEF,0.0,40,0.0,0,0,0.0,0.0,0.0,0.0,2362,1265,0
Duffus,Brighton,MID,0.0,44,0.0,0,0,0.0,0.0,0.0,0.0,335,225,0
Hugill,Man Utd,FWD,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,1277,1018,0
Whittingham,Wolves,MID,0.0,45,0.0,0,0,0.0,0.0,0.0,0.0,254,181,0
Chirewa,Wolves,MID,0.0,44,0.0,0,0,0.0,0.0,0.0,0.0,456,328,0
